startTime,label,work
072732,13,人がいない
074403,2,書類作成
074416,11,作業台での作業
074431,13,人がいない
075315,1,その他
075335,13,人がいない
075522,1,その他
075732,13,人がいない
084415,1,その他
084420,4,原紙
084423,13,人がいない
084437,1,その他
084518,13,人がいない
084607,1,その他
084626,13,人がいない
084651,1,その他
084658,13,人がいない
084807,1,その他
084810,13,人がいない
091546,1,その他
091616,2,書類作成
091645,1,その他
091751,12,製品確認
092008,2,書類作成
092103,4,原紙
092106,2,書類作成
092143,12,製品確認
092327,2,書類作成
092330,12,製品確認
092350,4,原紙
092359,13,人がいない
092422,1,その他
092430,12,製品確認
092645,4,原紙
092650,1,その他
092655,12,製品確認
092725,2,書類作成
092735,12,製品確認
092755,2,書類作成
092821,12,製品確認
093055,2,書類作成
093106,8,サンプル作成
093250,13,人がいない
093431,6,巻取準備（上）
093447,8,サンプル作成
093457,7,巻取準備（下）
093525,8,サンプル作成
093704,1,その他
093708,5,インクローラー調整
093720,3,シリンダー準備
094445,13,人がいない
094633,4,原紙
094641,5,インクローラー調整
094724,3,シリンダー準備
094738,5,インクローラー調整
094822,3,シリンダー準備
094844,4,原紙
095104,1,その他
095138,2,書類作成
095427,1,その他
095501,13,人がいない
095515,1,その他
095703,2,書類作成
095731,1,その他
095750,2,書類作成
095915,3,シリンダー準備
095948,13,人がいない
100007,4,原紙
100012,11,作業台での作業
100014,13,人がいない
100150,1,その他
100549,2,書類作成
100552,1,その他
100609,13,人がいない
100626,2,書類作成
100630,1,その他
100711,13,人がいない
100743,1,その他
100806,13,人がいない
101035,1,その他
101052,2,書類作成
101248,3,シリンダー準備
102322,2,書類作成
102327,5,インクローラー調整
102643,3,シリンダー準備
102649,4,原紙
102935,3,シリンダー準備
103104,5,インクローラー調整
103123,4,原紙
103137,3,シリンダー準備
103509,1,その他
103519,3,シリンダー準備
103621,7,巻取準備（下）
103708,9,インク調整
103727,5,インクローラー調整
103737,12,製品確認
103752,7,巻取準備（下）
104110,13,人がいない
104130,6,巻取準備（上）
104231,9,インク調整
104245,12,製品確認
104303,3,シリンダー準備
104350,8,サンプル作成
